Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
auf, 12, 1, 11, 0, 0, 0
in, 7, 2, 5, 0, 0, 0
durch, 4, 3, 1, 0, 0, 0
unter, 2, 0, 2, 0, 0, 0
über, 2, 2, 0, 0, 0, 0
nach, 1, 0, 1, 0, 0, 0
um, 1, 1, 0, 0, 0, 0
von, 1, 0, 1, 0, 0, 0
vor, 1, 0, 1, 0, 0, 0
zu, 1, 1, 0, 0, 0, 0
