Präposition, Gesamt, Akk., Dat., Gen., Nom., Unbekannt
durch, 302, 287, 7, 3, 5, 0
in, 90, 7, 83, 0, 0, 0
über, 55, 54, 0, 0, 1, 0
an, 28, 3, 25, 0, 0, 0
zu, 26, 1, 25, 0, 0, 0
auf, 18, 4, 14, 0, 0, 0
nach, 8, 0, 8, 0, 0, 0
von, 6, 0, 6, 0, 0, 0
entlang, 5, 0, 3, 2, 0, 0
um, 4, 3, 1, 0, 0, 0
zwischen, 3, 0, 3, 0, 0, 0
abseits, 2, 0, 1, 1, 0, 0
unter, 2, 0, 2, 0, 0, 0
inmitten, 1, 0, 1, 0, 0, 0
vor, 1, 0, 1, 0, 0, 0
